Account,Oracle Super Category,Oracle Category,PRISM Commodity Level 1,PRISM Commodity Level 2,PRISM Commodity Level 3,PRISM Commodity Level 4,PRISM Commodity Level 5,iProc Product Category,PRISM Commodity Name,Category Name,Commodity Level,Account,Financial Class,Special Reporting,Purchase Type,Change Type
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Cryodose (6380),,PHARMA - CRYODOSE,Pharma - Cryodose (6380),Pharma - Cryodose ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Daptomycin (6380),,PHARMA - DAPTOMYCIN,Pharma - Daptomycin (6380),Pharma - Daptomycin ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Deferoxamine (6380),,PHARMA - DEFEROXAMINE,Pharma - Deferoxamine (6380),Pharma - Deferoxamine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Dextrose (6380),,PHARMA - DEXTROSE,Pharma - Dextrose (6380),Pharma - Dextrose ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Diphenhydramine (6380),,PHARMA - DIPHENHYDRAMINE,Pharma - Diphenhydramine (6380),Pharma - Diphenhydramine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Epinephrine (6380),,PHARMA - EPINEPHRINE,Pharma - Epinephrine (6380),Pharma - Epinephrine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Faraheme (6380),,PHARMA - FARAHEME,Pharma - Faraheme (6380),Pharma - Faraheme ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Glutose Gel (6380),,PHARMA - GLUTOSE GEL,Pharma - Glutose Gel (6380),Pharma - Glutose Gel ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Insulin (6380),,PHARMA - INSULIN,Pharma - Insulin (6380),Pharma - Insulin ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Invanz (6380),,PHARMA - INVANZ,Pharma - Invanz (6380),Pharma - Invanz ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Iron (Sodium Ferric) (6380),,PHARMA - IRON (SODIUM FERRIC),Pharma - Iron (Sodium Ferric) (6380),Pharma - Iron (Sodium Ferric) ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Lidocaine (6380),,PHARMA - LIDOCAINE,Pharma - Lidocaine (6380),Pharma - Lidocaine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Loperamide (6380),,PHARMA - LOPERAMIDE,Pharma - Loperamide (6380),Pharma - Loperamide ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Magnesium Sulfate (6380),,PHARMA - MAGNESIUM SULFATE,Pharma - Magnesium Sulfate (6380),Pharma - Magnesium Sulfate ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Mannitol (6380),,PHARMA - MANNITOL,Pharma - Mannitol (6380),Pharma - Mannitol ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Meropenem (6380),,PHARMA - MEROPENEM,Pharma - Meropenem (6380),Pharma - Meropenem ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Nitroglycerin (6380),,PHARMA - NITROGLYCERIN,Pharma - Nitroglycerin (6380),Pharma - Nitroglycerin ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Promethazine (6380),,PHARMA - PROMETHAZINE,Pharma - Promethazine (6380),Pharma - Promethazine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Sodium Polystyrene (6380),,PHARMA - SODIUM POLYSTYRENE,Pharma - Sodium Polystyrene (6380),Pharma - Sodium Polystyrene ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Sodium Thiosulfate (6380),,PHARMA - SODIUM THIOSULFATE,Pharma - Sodium Thiosulfate (6380),Pharma - Sodium Thiosulfate ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Sterile Water (6380),,PHARMA - STERILE WATER,Pharma - Sterile Water (6380),Pharma - Sterile Water ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Tigan (6380),,PHARMA - TIGAN,Pharma - Tigan (6380),Pharma - Tigan ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Tubersol (6380),,PHARMA - TUBERSOL,Pharma - Tubersol (6380),Pharma - Tubersol ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Tums (6380),,PHARMA - TUMS,Pharma - Tums (6380),Pharma - Tums ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Vancomycin (6380),,PHARMA - VANCOMYCIN,Pharma - Vancomycin (6380),Pharma - Vancomycin ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Zofran (6380),,PHARMA - ZOFRAN,Pharma - Zofran (6380),Pharma - Zofran ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,COVID-19 Vaccine - Primary (6380),,COVID-19 VACCINE - PRIMARY,COVID-19 Vaccine - Primary (6380),COVID-19 Vaccine - Primary ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Flucelvax (6380),,PHARMA - FLUCELVAX,Pharma - Flucelvax (6380),Pharma - Flucelvax ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Fluzone (6380),,PHARMA - FLUZONE,Pharma - Fluzone (6380),Pharma - Fluzone ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Pneumococcal,,PHARMA - PNEUMOCOCCAL,Pharma - Pneumococcal,Pharma - Pneumo,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6382,Medical Supplies,Korsuva Expense,Pharma,Other Pharma,Korsuva Expense (6382),,,PHARMA - KORSUVA,Korsuva Expense (6382),Korsuva Expense ,L3,6382 - Korsuva Expense,000 - N/A - General,00000 - N/A,Direct,Modify L2 Name
6384,Medical Supplies,Other Drugs,Pharma,Vaccines,Hepatitis B & Vaccines Expense,Pharma - Heplisav B (6384),,PHARMA - HEPLISAV B,Pharma - Heplisav B (6380),Pharma - Heplisav B ,L4,6384 - Hepatitis B & Vaccines Expense,000 - N/A - General,00000 - N/A,Direct,Add
6384,Medical Supplies,Other Drugs,Pharma,Vaccines,Hepatitis B & Vaccines Expense,Pharma - Engerix (6384),,PHARMA - ENGERIX,Pharma - Engerix (6384),Pharma - Engerix ,L4,6384 - Hepatitis B & Vaccines Expense,000 - N/A - General,00000 - N/A,Direct,Add
6385,Medical Supplies,Other Drugs,Pharma,Dialysis Medication,Carnitor (6385),,,PHARMA - CARNITOR,Carnitor (6385),Carnitor ,L3,6385 - Carnitor Expense,000 - N/A - General,00000 - N/A,Direct,None
6386,Medical Supplies,Other Drugs,Pharma,Dialysis Medication,Alteplase (6386),,,,Alteplase (6386),Alteplase ,L3,6386 - Alteplase Expense,000 - N/A - General,00000 - N/A,Direct,None
6386,Medical Supplies,Other Drugs,Pharma,Dialysis Medication,Pharma - ActIVase (6386),,,PHARMA - ACTIVASE,Pharma - ActIVase (6386),Pharma - ActIVase ,L3,6386 - Alteplase Expense,000 - N/A - General,00000 - N/A,Direct,Add
6387,Medical Supplies,Other Drugs,Pharma,Vitamin D Medications,Hectorol (6387),,,HECTOROL,Hectorol (6387),Hectorol ,L3,6387 - Hectorol Expense,000 - N/A - General,00000 - N/A,Direct,None
6390,Medical Supplies,Other Pharmacy,Pharma,General Medications,Non- Routine Pharmacy Expense (6390),,,,Non- Routine Pharmacy Expense (6390),Non- Routine Pharmacy Expense ,L3,6390 - Non- Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,None
6393,Medical Supplies,Other Drugs,Pharma,Vitamin D Medications,Oral Calcitriol (6393),,,PHARMA - VITAMIN D (CALCITRIOL),Oral Calcitriol (6393),Oral Calcitriol ,L3,6393 - Oral Calcitrol,000 - N/A - General,00000 - N/A,Direct,None
6395,Medical Supplies,Other Drugs,Pharma,Vitamin D Medications,Oral Hectorol (6395),,,PHARMA - VITAMIN D (HECTOROL),Oral Hectorol (6395),Oral Hectorol ,L3,6395 - Oral Hectoral,000 - N/A - General,00000 - N/A,Direct,None
6410,Other Operating,Outside Laboratory,Lab,External Lab,Routine Patient Labs (6410),,,,Routine Patient Labs (6410),Routine Patient Labs ,L3,6410 - Patients Lab Routine,000 - N/A - General,00000 - N/A,Direct,None
6411,Other Operating,Outside Laboratory,Lab,External Lab,Non-Routine Patient Labs (6411),,,,Non-Routine Patient Labs (6411),Non-Routine Patient Labs ,L3,6411 - Lab Non Routine,000 - N/A - General,00000 - N/A,Direct,None
6413,Other Operating,Outside Laboratory,Lab,External Lab,Stat Lab (6413),,,,Stat Lab (6413),Stat Lab ,L3,6413 - Stat Lab,000 - N/A - General,00000 - N/A,Direct,None
6417,Medical Supplies,TRC Ancillary Services Supplies,Lab,Village Lab,POC Lab (6417),,,,POC Lab (6417),POC Lab ,L3,6417 - POCT Lab Expense,000 - N/A - General,00000 - N/A,Direct,None
6420,Medical Supplies,Blood Units & Transport,Dialysis Equipment & Supplies,Medical Supplies,Blood Units (6420),,,,Blood Units (6420),Blood Units ,L3,6420 - Blood Units,,,Direct,None
6424,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Supplies - FMC (6424),,,,PD Supplies - FMC (6424),PD Supplies - FMC ,L3,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,None
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Connector - PD (6424),,CONNECTOR - PD,Connector - PD (6424),Connector - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Deflex - PD (6424),,DEFLEX - PD,Deflex - PD (6424),Deflex - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Handle - PD (6424),,HANDLE - PD,Handle - PD (6424),Handle - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Hook - PD (6424),,HOOK - PD,Hook - PD (6424),Hook - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Line - PD (6424),,LINE - PD,Line - PD (6424),Line - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,Organizer - PD (6424),,ORGANIZER - PD,Organizer - PD (6424),Organizer - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6424,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,FMC PD Supply Expense,PD Belt - PD (6424),,PD BELT - PD,PD Belt - PD (6424),PD Belt - PD ,L4,6424 - FMC PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,Add
6425,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Supplies - Baxter (6425),,,,PD Supplies - Baxter (6425),PD Supplies - Baxter ,L3,6425 - Baxter PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,None
6426,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Supplies - FMC Rebate (6426),,,,PD Supplies - FMC Rebate (6426),PD Supplies - FMC Rebate ,L3,6426 - FMC PD Supply Rebate,000 - N/A - General,00000 - N/A,Direct,None
6427,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Supplies - Baxter Rebate (6427),,,,PD Supplies - Baxter Rebate (6427),PD Supplies - Baxter Rebate ,L3,6427 - Baxter PD Supply Rebate,000 - N/A - General,00000 - N/A,Direct,None
6428,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,Extraneal PD Solutions (6428),,,,Extraneal PD Solutions (6428),Extraneal PD Solutions ,L3,6428 - Extraneal PD Supply Expense,000 - N/A - General,00000 - N/A,Direct,None
6428,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,Extraneal PD Supply Expense (6428),,,,Extraneal PD Supply Expense (6428),Extraneal PD Supply Expense ,L3,6428 - Extraneal PD Supply Expense,,,Direct,None
6429,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,HHD Supplies (6429),,,,HHD Supplies (6429),HHD Supplies ,L3,6429 - NxStage HHD Supply Expense,000 - N/A - General,00000 - N/A,Direct,None
6429,Medical Supplies,Home Direct & Other Medical,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,NxStage HHD Supply Expense (6429),,,,NxStage HHD Supply Expense (6429),NxStage HHD Supply Expense ,L3,6429 - NxStage HHD Supply Expense,000 - N/A - General,00000 - N/A,Direct,None
6430,Medical Supplies,Home Direct & Other Medical,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Non-Supply Expenses (6430),,,,PD Non-Supply Expenses (6430),PD Non-Supply Expenses ,L3,6430 - Non Supply PD Expense,000 - N/A - General,00000 - N/A,Direct,None
