19:47:28.201211 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/bin
19:47:28.751837 http.c:927              => Send header: GET /Kai23-dev/GCP_Multiagent_Sandbox.git/info/refs?service=git-receive-pack HTTP/1.1
19:47:28.751837 http.c:927              => Send header: Host: github.com
19:47:28.751837 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
19:47:28.751837 http.c:927              => Send header: Accept: */*
19:47:28.751837 http.c:927              => Send header: Accept-Encoding: deflate, gzip, br, zstd
19:47:28.751837 http.c:927              => Send header: Pragma: no-cache
19:47:28.751837 http.c:927              => Send header:
19:47:28.751837 http.c:968              == Info: Request completely sent off
19:47:29.036146 http.c:915              <= Recv header, 0000000027 bytes (0x0000001b)
19:47:29.036146 http.c:927              <= Recv header: HTTP/1.1 401 Unauthorized
19:47:29.036146 http.c:915              <= Recv header, 0000000026 bytes (0x0000001a)
19:47:29.036146 http.c:927              <= Recv header: Server: GitHub-Babel/3.0
19:47:29.036146 http.c:915              <= Recv header, 0000000054 bytes (0x00000036)
19:47:29.036146 http.c:927              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
19:47:29.036146 http.c:915              <= Recv header, 0000000041 bytes (0x00000029)
19:47:29.036146 http.c:927              <= Recv header: Content-Type: text/plain; charset=UTF-8
19:47:29.036146 http.c:915              <= Recv header, 0000000040 bytes (0x00000028)
19:47:29.036146 http.c:927              <= Recv header: www-authenticate: Basic realm="GitHub"
19:47:29.036146 http.c:915              <= Recv header, 0000000020 bytes (0x00000014)
19:47:29.036146 http.c:927              <= Recv header: Content-Length: 21
19:47:29.036146 http.c:915              <= Recv header, 0000000037 bytes (0x00000025)
19:47:29.036146 http.c:927              <= Recv header: Date: Wed, 17 Jun 2026 14:17:29 GMT
19:47:29.036146 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
19:47:29.036146 http.c:927              <= Recv header: X-Frame-Options: DENY
19:47:29.036146 http.c:915              <= Recv header, 0000000073 bytes (0x00000049)
19:47:29.036146 http.c:927              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
19:47:29.036146 http.c:915              <= Recv header, 0000000059 bytes (0x0000003b)
19:47:29.036146 http.c:927              <= Recv header: X-GitHub-Request-Id: 3A3F:1CDA78:13B8F94:15AC384:6A32AC79
19:47:29.036146 http.c:915              <= Recv header, 0000000045 bytes (0x0000002d)
19:47:29.036146 http.c:927              <= Recv header: Proxy-Support: Session-Based-Authentication
19:47:29.036146 http.c:968              == Info: Ignoring the response-body
19:47:29.036146 http.c:968              == Info: setting size while ignoring
19:47:29.036146 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
19:47:29.036146 http.c:927              <= Recv header:
19:47:29.036146 http.c:968              == Info: Connection #0 to host github.com:443 left intact
19:47:29.036146 http.c:968              == Info: Issue another request to this URL: 'https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git/info/refs?service=git-receive-pack'
19:47:29.036146 http.c:968              == Info: Could not find host github.com in the .netrc file; using defaults
19:47:29.036146 http.c:968              == Info: Reusing existing https: connection with host github.com
19:47:29.036146 http.c:968              == Info: Server auth using Basic with user 'Kai23-dev'
19:47:29.036146 http.c:915              => Send header, 0000000253 bytes (0x000000fd)
19:47:29.036146 http.c:927              => Send header: GET /Kai23-dev/GCP_Multiagent_Sandbox.git/info/refs?service=git-receive-pack HTTP/1.1
19:47:29.036146 http.c:927              => Send header: Host: github.com
19:47:29.036146 http.c:927              => Send header: Authorization: Basic <redacted>
19:47:29.036146 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
19:47:29.036146 http.c:927              => Send header: Accept: */*
19:47:29.036146 http.c:927              => Send header: Accept-Encoding: deflate, gzip, br, zstd
19:47:29.036146 http.c:927              => Send header: Pragma: no-cache
19:47:29.036146 http.c:927              => Send header:
19:47:29.036146 http.c:968              == Info: Request completely sent off
19:47:29.351457 http.c:915              <= Recv header, 0000000027 bytes (0x0000001b)
19:47:29.351457 http.c:927              <= Recv header: HTTP/1.1 401 Unauthorized
19:47:29.351457 http.c:915              <= Recv header, 0000000026 bytes (0x0000001a)
19:47:29.351457 http.c:927              <= Recv header: Server: GitHub-Babel/3.0
19:47:29.351457 http.c:915              <= Recv header, 0000000054 bytes (0x00000036)
19:47:29.351457 http.c:927              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
19:47:29.351457 http.c:915              <= Recv header, 0000000041 bytes (0x00000029)
19:47:29.351457 http.c:927              <= Recv header: Content-Type: text/plain; charset=UTF-8
19:47:29.351457 http.c:968              == Info: Basic authentication problem, ignoring.
19:47:29.351457 http.c:915              <= Recv header, 0000000040 bytes (0x00000028)
19:47:29.351457 http.c:927              <= Recv header: www-authenticate: Basic realm="GitHub"
19:47:29.351457 http.c:915              <= Recv header, 0000000020 bytes (0x00000014)
19:47:29.351457 http.c:927              <= Recv header: Content-Length: 87
19:47:29.351457 http.c:915              <= Recv header, 0000000037 bytes (0x00000025)
19:47:29.351457 http.c:927              <= Recv header: Date: Wed, 17 Jun 2026 14:17:29 GMT
19:47:29.351457 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
19:47:29.351457 http.c:927              <= Recv header: X-Frame-Options: DENY
19:47:29.351457 http.c:915              <= Recv header, 0000000073 bytes (0x00000049)
19:47:29.351457 http.c:927              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
19:47:29.351457 http.c:915              <= Recv header, 0000000059 bytes (0x0000003b)
19:47:29.351457 http.c:927              <= Recv header: X-GitHub-Request-Id: 3A3F:1CDA78:13B901C:15AC3E3:6A32AC79
19:47:29.351457 http.c:915              <= Recv header, 0000000045 bytes (0x0000002d)
19:47:29.351457 http.c:927              <= Recv header: Proxy-Support: Session-Based-Authentication
19:47:29.351457 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
19:47:29.351457 http.c:927              <= Recv header:
19:47:29.351457 http.c:968              == Info: Connection #0 to host github.com:443 left intact
19:47:29.351457 run-command.c:673       trace: run_command: 'git credential-manager get'
19:47:29.351457 run-command.c:934       trace: start_command: C:/Users/BC898DL/AppData/Local/Programs/Git/usr/bin/sh.exe -c 'git credential-manager get' 'git credential-manager get'
19:47:29.572014 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:29.584320 git.c:810               trace: exec: git-credential-manager get
19:47:29.584320 run-command.c:673       trace: run_command: git-credential-manager get
19:47:29.584320 run-command.c:934       trace: start_command: git-credential-manager get
19:47:29.837476 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:29.851029 git.c:502               trace: built-in: git config --null --list
19:47:30.002924 http.c:968              == Info: Reusing existing https: connection with host github.com
19:47:30.002924 http.c:968              == Info: Server auth using Basic with user 'Kai23-dev'
19:47:30.002924 http.c:915              => Send header, 0000000377 bytes (0x00000179)
19:47:30.002924 http.c:927              => Send header: GET /Kai23-dev/GCP_Multiagent_Sandbox.git/info/refs?service=git-receive-pack HTTP/1.1
19:47:30.002924 http.c:927              => Send header: Host: github.com
19:47:30.002924 http.c:927              => Send header: Authorization: Basic <redacted>
19:47:30.002924 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
19:47:30.002924 http.c:927              => Send header: Accept: */*
19:47:30.002924 http.c:927              => Send header: Accept-Encoding: deflate, gzip, br, zstd
19:47:30.002924 http.c:927              => Send header: Pragma: no-cache
19:47:30.002924 http.c:927              => Send header:
19:47:30.003398 http.c:968              == Info: Request completely sent off
19:47:30.453225 http.c:915              <= Recv header, 0000000017 bytes (0x00000011)
19:47:30.453225 http.c:927              <= Recv header: HTTP/1.1 200 OK
19:47:30.453225 http.c:915              <= Recv header, 0000000026 bytes (0x0000001a)
19:47:30.453225 http.c:927              <= Recv header: Server: GitHub-Babel/3.0
19:47:30.453225 http.c:915              <= Recv header, 0000000060 bytes (0x0000003c)
19:47:30.453225 http.c:927              <= Recv header: Content-Type: application/x-git-receive-pack-advertisement
19:47:30.453225 http.c:915              <= Recv header, 0000000054 bytes (0x00000036)
19:47:30.453225 http.c:927              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
19:47:30.453225 http.c:915              <= Recv header, 0000000040 bytes (0x00000028)
19:47:30.453225 http.c:927              <= Recv header: expires: Fri, 01 Jan 1980 00:00:00 GMT
19:47:30.453225 http.c:915              <= Recv header, 0000000018 bytes (0x00000012)
19:47:30.453225 http.c:927              <= Recv header: pragma: no-cache
19:47:30.453225 http.c:915              <= Recv header, 0000000053 bytes (0x00000035)
19:47:30.453225 http.c:927              <= Recv header: Cache-Control: no-cache, max-age=0, must-revalidate
19:47:30.453225 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
19:47:30.453225 http.c:927              <= Recv header: Vary: Accept-Encoding
19:47:30.453225 http.c:915              <= Recv header, 0000000028 bytes (0x0000001c)
19:47:30.453225 http.c:927              <= Recv header: Transfer-Encoding: chunked
19:47:30.453225 http.c:915              <= Recv header, 0000000037 bytes (0x00000025)
19:47:30.453225 http.c:927              <= Recv header: Date: Wed, 17 Jun 2026 14:17:30 GMT
19:47:30.453225 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
19:47:30.453225 http.c:927              <= Recv header: X-Frame-Options: DENY
19:47:30.453225 http.c:915              <= Recv header, 0000000073 bytes (0x00000049)
19:47:30.453225 http.c:927              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
19:47:30.453225 http.c:915              <= Recv header, 0000000059 bytes (0x0000003b)
19:47:30.453225 http.c:927              <= Recv header: X-GitHub-Request-Id: 3A3F:1CDA78:13B9172:15AC570:6A32AC79
19:47:30.453225 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
19:47:30.453225 http.c:927              <= Recv header:
19:47:30.453225 http.c:968              == Info: Connection #0 to host github.com:443 left intact
19:47:30.453225 run-command.c:673       trace: run_command: 'git credential-manager store'
19:47:30.453225 run-command.c:934       trace: start_command: C:/Users/BC898DL/AppData/Local/Programs/Git/usr/bin/sh.exe -c 'git credential-manager store' 'git credential-manager store'
19:47:30.681757 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:30.689877 git.c:810               trace: exec: git-credential-manager store
19:47:30.689877 run-command.c:673       trace: run_command: git-credential-manager store
19:47:30.689877 run-command.c:934       trace: start_command: git-credential-manager store
19:47:30.945980 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:30.958344 git.c:502               trace: built-in: git config --null --list
19:47:31.098795 run-command.c:673       trace: run_command: git send-pack --stateless-rpc --helper-status --thin --no-progress https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git/ --stdin
19:47:31.098795 run-command.c:934       trace: start_command: git send-pack --stateless-rpc --helper-status --thin --no-progress https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git/ --stdin
19:47:31.200436 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:31.206965 git.c:502               trace: built-in: git send-pack --stateless-rpc --helper-status --thin --no-progress https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git/ --stdin
19:47:31.212450 run-command.c:673       trace: run_command: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
19:47:31.212450 run-command.c:934       trace: start_command: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
19:47:31.317886 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:31.326879 git.c:502               trace: built-in: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
19:47:31.339339 http.c:968              == Info: Reusing existing https: connection with host github.com
19:47:31.339339 http.c:968              == Info: Server auth using Basic with user 'Kai23-dev'
19:47:31.339339 http.c:915              => Send header, 0000000407 bytes (0x00000197)
19:47:31.339339 http.c:927              => Send header: POST /Kai23-dev/GCP_Multiagent_Sandbox.git/git-receive-pack HTTP/1.1
19:47:31.339339 http.c:927              => Send header: Host: github.com
19:47:31.339339 http.c:927              => Send header: Authorization: Basic <redacted>
19:47:31.339339 http.c:927              => Send header: User-Agent: git/2.54.0.windows.1
19:47:31.339339 http.c:927              => Send header: Content-Type: application/x-git-receive-pack-request
19:47:31.339339 http.c:927              => Send header: Accept: application/x-git-receive-pack-result
19:47:31.339339 http.c:927              => Send header: Content-Length: 4
19:47:31.339339 http.c:927              => Send header:
19:47:31.339339 http.c:968              == Info: upload completely sent off: 4 bytes
19:47:31.434545 http.c:915              <= Recv header, 0000000024 bytes (0x00000018)
19:47:31.434545 http.c:927              <= Recv header: HTTP/1.1 403 Forbidden
19:47:31.434545 http.c:915              <= Recv header, 0000000025 bytes (0x00000019)
19:47:31.434545 http.c:927              <= Recv header: Content-Type: text/html
19:47:31.434545 http.c:915              <= Recv header, 0000000021 bytes (0x00000015)
19:47:31.434545 http.c:927              <= Recv header: Server: Zscaler/6.2
19:47:31.434545 http.c:915              <= Recv header, 0000000025 bytes (0x00000019)
19:47:31.434545 http.c:927              <= Recv header: Cache-Control: no-cache
19:47:31.434545 http.c:915              <= Recv header, 0000000032 bytes (0x00000020)
19:47:31.434545 http.c:927              <= Recv header: Access-Control-Allow-Origin: *
19:47:31.434545 http.c:915              <= Recv header, 0000000023 bytes (0x00000017)
19:47:31.434545 http.c:927              <= Recv header: Content-length: 14165
19:47:31.434545 http.c:968              == Info: The requested URL returned error: 403
19:47:31.434545 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
19:47:31.434545 http.c:927              <= Recv header:
19:47:31.434545 http.c:968              == Info: closing connection #0
error: RPC failed; HTTP 403 curl 22 The requested URL returned error: 403
send-pack: unexpected disconnect while reading sideband packet
fatal: the remote end hung up unexpectedly
Everything up-to-date
